ActorId,last_name,first_name,CountryId
A0001,Morgenstern,Emmanuel,us
A0002,Norton,Edward,us
A0003,Bullock,Sandra,us
A0004,Khan,Irrfan,in
A0005,Dujardin,Jean,fr
A0006,Firth,Colin,uk
A0007,Renner,Jeremy,us
A0008,Patel,Dev,uk
A0009,Tommy,Jones,us
A0010,Petersen,William,us
A0011,McConaughey,Matthew,us
A0012,Day-Lewis,Daniel,uk
A0013,Bridges,Jeff,us
A0014,Penn,Sean,us
A0015,Day-Lewis,Daniel,uk
A0016,Larson,Brie,us
A0017,Moore,Julianne,us
A0018,Blanchett,Cate,au
A0019,Cooper,Bradley,us
A0020,Streep,Meryl,us
A0021,Portman,Natalie,us
A0022,Man,Janice,hk
A0023,Hanks,Tom,us
A0024,Wasikowska,Mia,au
A0025,Radcliffe,Daniel,uk
A0026,Radcliffe,Daniel,uk
A0027,Radcliffe,Daniel,uk
A0028,Radcliffe,Daniel,uk
A0029,Radcliffe,Daniel,uk
A0030,Radcliffe,Daniel,uk
A0031,Radcliffe,Daniel,uk
A0032,Radcliffe,Daniel,uk
A0033,Robert,Downey,us
A0034,Gyllenhaal,Jake,us
A0035,Liedtke,Tanja,ge
A0036,Astin,Sean,us
A0037,Hepburn,Audrey,uk
A0038,Albert,Eddie,us
A0039,Matsushima,Nanako,ja
A0040,Wood,Elijah,us
A0041,Wood,Elijah,us
A0042,Wood,Elijah,us
A0043,McNair,Denise,us
A0044,Butler,Gerard,sc
A0045,Cruise,Tom,us
A0046,Pitt,Brad,us
A0047,Vassilieva,Sofia,us
A0048,Moore,Mandy,us
A0049,Stewart,Kristen,us
A0050,Rohrig,Geza,us
