"MovieId","TopicId"
"M0001","T0001"
"M0001","T0002"
"M0002","T0002"
"M0002","T0012"
"M0003","T0006"
"M0004","T0002"
"M0004","T0004"
"M0005","T0002"
"M0005","T0003"
"M0005","T0012"
"M0006","T0002"
"M0006","T0004"
"M0007","T0008"
"M0008","T0002"
"M0009","T0009"
"M0010","T0002"
"M0010","T0009"
"M0010","T0012"
"M0011","T0002"
"M0011","T0004"
"M0012","T0001"
"M0012","T0002"
"M0012","T0005"
"M0013","T0002"
"M0014","T0004"
"M0015","T0002"
"M0015","T0005"
"M0016","T0002"
"M0016","T0010"
"M0017","T0002"
"M0017","T0010"
"M0018","T0002"
"M0019","T0002"
"M0019","T0003"
"M0019","T0012"
"M0020","T0004"
"M0021","T0009"
"M0021","T0011"
"M0021","T0019"
"M0022","T0020"
"M0023","T0002"
"M0023","T0003"
"M0023","T0005"
"M0023","T0012"
"M0024","T0013"
"M0025","T0013"
"M0026","T0013"
"M0027","T0013"
"M0028","T0013"
"M0029","T0013"
"M0030","T0013"
"M0031","T0013"
"M0032","T0013"
"M0033","T0014"
"M0033","T0015"
"M0034","T0006"
"M0034","T0018"
"M0035","T0023"
"M0036","T0002"
"M0036","T0025"
"M0037","T0003"
"M0037","T0012"
"M0038","T0003"
"M0038","T0012"
"M0038","T0024"
"M0039","T0011"
"M0039","T0019"
"M0040","T0005"
"M0040","T0013"
"M0041","T0005"
"M0041","T0013"
"M0042","T0005"
"M0042","T0013"
"M0043","T0001"
"M0043","T0017"
"M0044","T0021"
"M0045","T0002"
"M0045","T0019"
"M0046","T0002"
"M0047","T0002"
"M0048","T0020"
"M0048","T0022"
"M0049","T0003"
"M0050","T0002"
