DirectorId,Director_firstname,Director_lastname,CountryId
D0001,Alejandro Gonzalez,Inarritu,mx
D0002,Alfonso,Cuaron,uk
D0003,Ang,Lee,us
D0004,Michel,Hazanavicius,fr
D0005,Tom,Hooper,uk
D0006,Kanthryn,Bigelow,us
D0007,Danny,Boyle,uk
D0008,Joel,Coen,us
D0009,Ethan,Coen,us
D0010,James,Marsh,uk
D0011,Jean-Marc,Vallee,ca
D0012,Steven Allan,Spielberg,us
D0013,Scott,Cooper,us
D0014,Gus Van,Sant,us
D0015,Paul Thomas,Anderson,us
D0016,Lenny,Abrahamson,ie
D0017,Richard,Glatzer,us
D0018,Wash,Westmoreland,uk
D0019,Woody,Allen,us
D0020,David O.,Russell,us
D0021,Phyllida,Lloyd,uk
D0022,Darren,Aronofsky,us
D0023,Robert,Zemeckis,us
D0024,Tim,Burton,us
D0025,Chris,Columbus,uk
D0026,Chris,Columbus,uk
D0027,Alfonso,Cuaron,uk
D0028,Mike,Newell,uk
D0029,David,Yates,uk
D0030,David,Yates,uk
D0031,David,Yates,uk
D0032,David,Yates,uk
D0033,Guy,Ritchie,uk
D0034,Roland,Emmerich,us
D0035,Lloyd,Newson,uk
D0036,Andrew,Erwin,us
D0037,Blake,Edwards,us
D0038,William,Wyler,us
D0039,Gore,Verbinski,us
D0040,Peter,Jackson,nz
D0041,Peter,Jackson,nz
D0042,Peter,Jackson,nz
D0043,Spike,Lee,us
D0044,Joel,Schumacher,us
D0045,Neil,Jordan,us
D0046,Terrence,Malick,us
D0047,Nick,Cassavetes,us
D0048,Glen,Keane,us
D0049,Catherine,Hardwicke,us
D0050,Laszlo,Nemes,hu
