"MovieId","DirectorId"
"M0001","D0001"
"M0002","D0002"
"M0003","D0003"
"M0004","D0004"
"M0005","D0005"
"M0006","D0006"
"M0007","D0007"
"M0008","D0008"
"M0009","D0009"
"M0010","D0010"
"M0011","D0011"
"M0012","D0012"
"M0013","D0013"
"M0014","D0014"
"M0015","D0015"
"M0016","D0016"
"M0017","D0017"
"M0017","D0018"
"M0018","D0019"
"M0019","D0020"
"M0020","D0021"
"M0021","D0022"
"M0022","D0022"
"M0023","D0023"
"M0024","D0024"
"M0025","D0025"
"M0026","D0025"
"M0027","D0027"
"M0028","D0028"
"M0029","D0029"
"M0030","D0029"
"M0031","D0029"
"M0032","D0029"
"M0033","D0033"
"M0034","D0034"
"M0035","D0035"
"M0036","D0036"
"M0037","D0037"
"M0038","D0038"
"M0039","D0039"
"M0040","D0040"
"M0041","D0040"
"M0042","D0040"
"M0043","D0043"
"M0044","D0044"
"M0045","D0045"
"M0046","D0046"
"M0047","D0047"
"M0048","D0048"
"M0049","D0049"
"M0050","D0050"
