"MovieId","Mname","Date_released","CountryId"
"M0001","The Revenant","42363.0","us"
"M0002","Birdman","41878.0","us"
"M0003","Gravity","41514.0","uk"
"M0004","Life of Pi","41180.0","us"
"M0005","The Artist","40674.0","fr"
"M0006","The King's Speech","40427.0","uk"
"M0007","The Hurt Locker","39695.0","us"
"M0008","Slumdog Millionaire","39690.0","uk"
"M0009","No country for Old Men","39221.0","us"
"M0010","The Theory of Everything","41889.0","uk"
"M0011","Dallas Buyers Club","41524.0","us"
"M0012","Lincoln","41190.0","us"
"M0013","Crazy Heart","40153.0","us"
"M0014","Milk","39778.0","us"
"M0015","There Will Be Blood","39352.0","us"
"M0016","Room","42251.0","ca"
"M0017","Still Alice","41890.0","us"
"M0018","Blue Jasmine","41481.0","us"
"M0019","Silver Linings Playbook","41160.0","us"
"M0020","The Iron Lady","40903.0","uk"
"M0021","Black Swan","40515.0","us"
"M0022","Frozen","41597.0","us"
"M0023","Forrest Gump","34508.0","us"
"M0024","Alice in Wonderland","40234.0","us"
"M0025","Harry Potter and the Philosopher's Stone","37199.0","uk"
"M0026","Harry Potter and the Chamber of Secrets","37575.0","uk"
"M0027","Harry Potter and the Prisoner of Azkaban","38130.0","uk"
"M0028","Harry Potter and the Goblet of Fire","38662.0","uk"
"M0029","Harry Potter and the Order of the Phoenix","39266.0","uk"
"M0030","Harry Potter and the Half-Blood Prince","40000.0","uk"
"M0031","Harry Potter and the Deathly Hallows - Part 1","40493.0","uk"
"M0032","Harry Potter and the Deathly Hallows - Part 2","40731.0","uk"
"M0033","Sherlock Holmes","40172.0","us"
"M0034","The Day After Tomorrow","38131.0","us"
"M0035","The Cost of Living","37987.0","uk"
"M0036","Woodlawn","42293.0","us"
"M0037","Breakfast at Tiffany's","22559.0","us"
"M0038","Roman Holiday","19598.0","us"
"M0039","Ring","35826.0","jp"
"M0040","The Lord of the Rings: The Fellowship of the Ring","37235.0","nz"
"M0041","The Lord of the Rings: The Two Towers","37595.0","nz"
"M0042","The Lord of the Rings: The Return of the King","37972.0","nz"
"M0043","Four Little Girls","35620.0","us"
"M0044","The Phantom of the Opera","38331.0","uk"
"M0045","Interview with the Vampire","34649.0","us"
"M0046","The Tree of Life","40679.0","us"
"M0047","My Sister's Keeper","39990.0","us"
"M0048","Tangled","40496.0","us"
"M0049","Twilight","39769.0","us"
"M0050","Son of Saul","42139.0","hu"
